"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 28 12:55:25 BDT 2022","Sun Aug 28 12:55:27 BDT 2022","2168","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","termsOfServiceUnchecked","Terms of Service is Unchecked","Without agreeing terms of service user cannot proceed to payment,will give prompt to agree it before continuing."
"passed","Sun Aug 28 12:52:26 BDT 2022","Sun Aug 28 12:52:32 BDT 2022","5911","E-commerce portal automation","E-commerce portal signup","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","finalSignUp","finalSignUp",""
"passed","Sun Aug 28 12:51:28 BDT 2022","Sun Aug 28 12:51:44 BDT 2022","16133","E-commerce portal automation","E-commerce portal signup","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","alreadyRegisteredEmail","Cannot Create Account with already registered email",""
"passed","Sun Aug 28 12:53:23 BDT 2022","Sun Aug 28 12:53:29 BDT 2022","5964","E-commerce portal automation","E-commerce portal login","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithBlankCreds","doLoginWithBlankCreds",""
"passed","Sun Aug 28 12:52:03 BDT 2022","Sun Aug 28 12:52:10 BDT 2022","7537","E-commerce portal automation","E-commerce portal signup","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","invalidPasswordCheck","Invalid Password Given,must be minimum 5 length",""
"passed","Sun Aug 28 12:54:12 BDT 2022","Sun Aug 28 12:54:12 BDT 2022","102","E-commerce portal automation","E-commerce portal order","TestRunner.OrderTestRunner","TestRunner.OrderTestRunner","addToCart","User can add cart successfully","User added the product into card"
"passed","Sun Aug 28 12:54:08 BDT 2022","Sun Aug 28 12:54:12 BDT 2022","3157","E-commerce portal automation","E-commerce portal order","TestRunner.OrderTestRunner","TestRunner.OrderTestRunner","chooseProduct","User can choose product","User can choose product from the product list"
"passed","Sun Aug 28 12:55:34 BDT 2022","Sun Aug 28 12:55:34 BDT 2022","65","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","paymentOptions","Available Payment Options","Two payment options should be available in the payment page:bankWire and Cheque"
"passed","Sun Aug 28 12:51:48 BDT 2022","Sun Aug 28 12:51:50 BDT 2022","2380","E-commerce portal automation","E-commerce portal signup","TestRunner.SignupTestRunner","TestRunner.SignupTestRunner","EmptyInfoReg","User press register button without inputting any data",""
"passed","Sun Aug 28 12:55:18 BDT 2022","Sun Aug 28 12:55:25 BDT 2022","7025","E-commerce portal automation","E-commerce portal checkout","TestRunner.CheckOutTestRunner","TestRunner.CheckOutTestRunner","shippingPage","Should proceed to Shipping Page containing Terms of service","After proceeding to checkout further, it should be headed to Shipping Page containing Terms of Service."
